0,0=0,-300,-1
0,1=0,-300,-1
0,2=0,-300,-1
0,3=0,-300,-1
0,4=0,-300,-1
0,5=0,-300,-1
0,6=0,-300,-1
0,7=300,-500,-1
0,8=300,-500,-1
0,9=300,-500,-1
0,10=300,-500,-1
0,11=300,-500,-1
0,12=300,-500,-1
0,13=300,-500,-1
0,14=300,-500,-1
0,15=300,-500,-1
0,16=300,-500,-1
0,17=0,-300,-1
0,18=0,-300,-1
0,19=0,-300,-1
0,20=0,-300,-1
0,21=0,-300,-1
0,22=0,-300,-1
0,23=0,-300,-1
0,24=0,-300,-1
0,25=0,-300,-1
0,26=0,-300,-1
0,27=0,-300,-1
0,28=0,-300,-1
0,29=0,-300,-1
0,30=0,-300,-1
0,31=0,-300,-1
0,32=0,-300,-1
0,33=0,-300,-1
0,34=0,-300,-1
0,35=300,-500,-1
0,36=300,-500,-1
0,37=300,-500,-1
0,38=300,-500,-1
0,39=300,-500,-1
0,40=300,-500,-1
0,41=300,-500,-1
0,42=300,-500,-1
0,43=300,-500,-1
0,44=300,-500,-1
0,45=300,-500,-1
0,46=0,-300,-1
0,47=0,-300,-1
0,48=0,-300,-1
0,49=0,-300,-1
0,50=0,-300,-1
0,51=0,-300,-1
0,52=0,-300,-1
0,53=0,-300,-1
0,54=0,-300,-1
0,55=0,-300,-1
0,56=0,-300,-1
1,0=0,-300,-1
1,1=0,-300,-1
1,2=0,-300,-1
1,56=0,-300,-1
2,0=0,-300,-1
2,1=0,-300,-1
2,2=0,-300,-1
2,56=0,-300,-1
3,0=0,-300,-1
3,1=0,-300,-1
3,2=0,-300,-1
3,56=0,-300,-1
4,0=0,-300,-1
4,1=0,-300,-1
4,2=0,-300,-1
4,56=0,-300,-1
5,0=0,-300,-1
5,1=0,-300,-1
5,2=0,-300,-1
5,56=0,-300,-1
6,0=0,-300,-1
6,1=0,-300,-1
6,2=0,-300,-1
6,56=0,-300,-1
7,0=0,-300,-1
7,56=0,-300,-1
8,0=0,-300,-1
8,56=0,-300,-1
9,0=0,-300,-1
9,7=300,-600,-1
9,8=300,-600,-1
9,9=300,-600,-1
9,12=500,-700,-1
9,21=500,-700,-1
9,26=300,-600,-1
9,27=300,-600,-1
9,28=300,-600,-1
9,31=500,-700,-1
9,40=500,-700,-1
9,45=300,-600,-1
9,46=300,-600,-1
9,47=300,-600,-1
9,50=500,-700,-1
9,56=0,-300,-1
10,0=0,-300,-1
10,7=300,-600,-1
10,8=300,-600,-1
10,9=300,-600,-1
10,26=300,-600,-1
10,27=300,-600,-1
10,28=300,-600,-1
10,45=300,-600,-1
10,46=300,-600,-1
10,47=300,-600,-1
10,56=0,-300,-1
11,0=0,-300,-1
11,7=300,-600,-1
11,8=300,-600,-1
11,9=300,-600,-1
11,26=300,-600,-1
11,27=300,-600,-1
11,28=300,-600,-1
11,45=300,-600,-1
11,46=300,-600,-1
11,47=300,-600,-1
11,56=0,-300,-1
12,0=0,-300,-1
12,7=300,-600,-1
12,8=300,-600,-1
12,9=300,-600,-1
12,26=300,-600,-1
12,27=300,-600,-1
12,28=300,-600,-1
12,45=300,-600,-1
12,46=300,-600,-1
12,47=300,-600,-1
12,56=0,-300,-1
13,0=0,-300,-1
13,56=0,-300,-1
14,0=0,-300,-1
14,56=0,-300,-1
15,0=0,-300,-1
15,56=0,-300,-1
16,0=0,-300,-1
16,56=0,-300,-1
17,0=0,-300,-1
17,56=0,-300,-1
18,0=0,-300,-1
18,56=0,-300,-1
19,0=0,-300,-1
19,4=500,-700,-1
19,12=500,-700,-1
19,21=500,-700,-1
19,56=0,-300,-1
20,0=0,-300,-1
20,31=500,-700,-1
20,40=500,-700,-1
20,50=500,-700,-1
20,56=0,-300,-1
21,0=0,-300,-1
21,56=0,-300,-1
22,0=0,-300,-1
22,56=0,-300,-1
23,0=0,-300,-1
23,25=0,-300,-1
23,26=0,-300,-1
23,27=0,-300,-1
23,28=0,-300,-1
23,29=0,-300,-1
23,30=0,-300,-1
23,31=0,-300,-1
23,32=0,-300,-1
23,33=0,-300,-1
23,34=0,-300,-1
23,35=0,-300,-1
23,56=0,-300,-1
